9,11,16,5,6,13,15
9,8,1,11,7,2,15
9,11,7,3,4,10,15
-1
5,4,1,9,16,11,13
5,4,11,9,8,17,13
5,11,2,10,17,15,13
-1
2,11,1,16,9,13,8
2,4,1,16,11,5,8
2,10,17,13,6,5,8
-1
11,16,1,9,5,8,13
11,2,4,1,16,12,13
11,4,2,10,15,17,13
-1
10,17,15,13,6,5,11
10,8,5,13,15,17,11
10,13,8,1,9,16,11
-1
11,2,4,1,16,12,6
11,5,8,13,15,10,6
11,9,16,1,5,8,6
-1
10,13,8,11,2,7,14
10,17,15,11,2,7,14
10,17,15,5,8,6,14
-1
15,17,13,6,5,8,11
15,17,13,8,1,9,11
15,17,13,5,8,16,11
-1
7,11,9,1,8,6,5
7,16,8,13,17,15,5
7,2,10,11,9,1,5
-1
13,17,5,8,11,4,15
13,10,17,11,2,7,15
13,17,11,9,16,1,15
-1
10,2,11,1,16,5,8
10,1,5,13,15,17,8
10,4,2,3,12,1,8
-1
6,17,13,8,16,5,1
6,15,10,16,11,9,1
6,7,2,12,3,4,1
-1
8,13,5,1,16,11,9
8,5,17,15,13,11,9
8,11,12,14,2,4,9
-1
6,15,17,13,8,5,11
6,17,13,5,8,16,11
6,13,8,1,9,16,11
-1
5,1,16,11,2,7,8
5,10,17,15,13,6,8
5,1,11,7,2,4,8
-1
15,13,8,11,2,7,14
15,10,17,13,11,2,14
15,10,2,3,12,11,14
-1
17,15,5,8,6,13,16
17,8,11,9,5,13,16
17,10,15,11,2,7,16
-1
17,15,13,8,11,2,3
17,10,15,13,11,2,3
17,4,2,7,12,11,3
-1
3,11,5,8,13,17,9
3,11,12,14,2,4,9
3,2,5,8,16,1,9
-1
3,17,13,8,16,5,1
3,14,12,2,4,13,1
3,11,9,16,8,13,1
-1
1,5,8,13,17,15,10
1,11,2,7,3,12,10
1,11,9,16,8,5,10
-1
6,11,2,7,4,12,5
6,17,15,11,1,9,5
6,10,17,15,13,8,5
-1
15,13,8,11,2,7,4
15,10,13,17,5,8,4
15,17,13,8,11,9,4
-1
14,2,4,12,11,5,3
14,11,7,2,9,16,3
14,10,15,13,11,2,3
-1
17,15,13,8,11,2,4
17,5,8,13,15,10,4
17,8,11,9,5,13,4
-1
11,2,10,17,15,13,5
11,12,3,4,13,8,5
11,16,1,9,8,6,5
-1
3,11,5,8,13,17,16
3,11,9,1,8,6,16
3,14,12,2,4,13,16
-1
10,17,15,5,8,6,16
10,13,8,11,1,9,16
10,13,8,11,2,7,16
-1
7,16,3,14,12,2,4
7,13,8,11,9,16,4
7,16,1,9,8,6,4
-1
15,10,13,11,2,7,17
15,11,1,5,8,13,17
15,11,7,3,4,10,17
-1
13,4,9,1,16,11,8
13,2,11,1,16,5,8
13,10,15,11,2,7,8
-1
11,3,9,1,16,5,8
11,1,2,3,12,14,8
11,5,10,15,13,17,8
-1
7,11,9,1,8,6,13
7,11,2,10,17,15,13
7,12,2,4,1,9,13
-1
2,11,1,9,8,13,16
2,4,1,9,8,13,16
2,10,17,13,6,8,16
-1
14,2,11,9,16,5,4
14,11,7,2,9,16,4
14,2,3,12,11,7,4
-1
2,11,9,1,8,13,4
2,14,3,12,11,10,4
2,11,7,3,12,1,4
-1
13,17,5,8,11,4,7
13,15,17,11,2,3,7
13,10,15,11,2,3,7
-1
1,11,2,7,3,12,14
1,11,9,16,8,5,14
1,11,9,16,2,4,14
-1
6,8,11,2,7,12,4
6,15,5,8,13,17,4
6,12,14,16,9,11,4
-1
2,11,1,16,9,8,13
2,4,1,16,11,5,13
2,1,5,10,17,15,13
-1
16,15,17,13,11,1,2
16,5,8,13,17,15,2
16,11,9,1,8,5,2
-1
5,8,13,17,15,11,1
5,17,13,8,16,11,1
5,8,13,15,17,6,1
-1
5,16,3,14,12,2,4
5,8,13,17,15,10,4
5,1,11,2,7,3,4
-1
