8,11,24,4,16
8,30,7,28,16
8,28,22,21,16
-1
23,28,30,16,4
23,6,11,24,4
23,28,21,30,4
-1
7,28,30,22,27
7,23,28,22,27
7,22,6,25,27
-1
21,23,28,30,1
21,30,16,4,1
21,23,8,30,1
-1
4,16,8,28,17
4,8,28,22,17
4,16,8,2,17
-1
11,29,13,30,6
11,8,28,22,6
11,28,23,21,6
-1
28,30,8,16,4
28,22,8,16,4
28,6,11,24,4
-1
24,16,30,7,19
24,8,28,22,19
24,4,16,8,19
-1
6,22,21,23,28
6,16,4,23,28
6,4,30,7,28
-1
30,22,8,16,4
30,8,24,16,4
30,7,28,21,4
-1
7,30,4,16,8
7,23,28,30,8
7,24,4,16,8
-1
3,21,22,28,23
3,30,22,28,23
3,6,22,28,23
-1
23,28,30,16,1
23,28,21,30,1
23,4,7,30,1
-1
7,23,28,30,21
7,30,22,28,21
7,23,30,16,21
-1
22,7,28,23,21
22,8,30,7,21
22,6,23,28,21
-1
16,1,4,30,7
16,21,23,28,7
16,8,28,22,7
-1
11,29,13,30,2
11,29,6,24,2
11,4,13,30,2
-1
7,8,28,22,23
7,30,22,28,23
7,30,28,21,23
-1
29,7,23,28,21
29,6,22,28,21
29,30,8,6,21
-1
8,28,7,30,1
8,30,16,4,1
8,22,28,23,1
-1
22,28,21,23,3
22,7,23,28,3
22,8,28,23,3
-1
29,8,28,22,27
29,6,22,28,27
29,22,6,25,27
-1
4,16,8,28,1
4,28,7,30,1
4,22,23,28,1
-1
29,6,22,28,23
29,21,28,22,23
29,7,30,16,23
-1
22,30,4,16,8
22,28,7,30,8
22,6,11,24,8
-1
24,7,28,22,30
24,16,1,4,30
24,28,22,21,30
-1
23,28,22,7,30
23,28,22,21,30
23,28,1,29,30
-1
6,7,30,1,26
6,22,28,7,26
6,30,16,1,26
-1
22,30,6,16,11
22,8,30,28,11
22,30,6,25,11
-1
7,11,30,4,16
7,23,28,30,16
7,23,28,22,16
-1
21,23,28,30,11
21,30,28,22,11
21,6,22,28,11
-1
13,30,2,23,16
13,11,24,4,16
13,28,23,21,16
-1
